,sample,label
0,jhu-usc.edu_BLCA.HumanMethylation450.24.lvl-3.TCGA-DK-AA6R-01A-11D-A42F-05.gdc_hg38.txt,Bladder
1,jhu-usc.edu_BLCA.HumanMethylation450.15.lvl-3.TCGA-CU-A5W6-01A-11D-A28N-05.gdc_hg38.txt,Bladder
2,jhu-usc.edu_BLCA.HumanMethylation450.21.lvl-3.TCGA-YF-AA3L-01A-11D-A38H-05.gdc_hg38.txt,Bladder
3,jhu-usc.edu_BLCA.HumanMethylation450.7.lvl-3.TCGA-FD-A3B3-01A-12D-A203-05.gdc_hg38.txt,Bladder
4,jhu-usc.edu_BLCA.HumanMethylation450.10.lvl-3.TCGA-FD-A3N6-01A-11D-A21B-05.gdc_hg38.txt,Bladder
5,jhu-usc.edu_BLCA.HumanMethylation450.12.lvl-3.TCGA-FJ-A3ZE-01A-11D-A23O-05.gdc_hg38.txt,Bladder
6,jhu-usc.edu_BLCA.HumanMethylation450.13.lvl-3.TCGA-CF-A47W-01A-11D-A23V-05.gdc_hg38.txt,Bladder
7,jhu-usc.edu_BLCA.HumanMethylation450.11.lvl-3.TCGA-BT-A3PK-01A-21D-A223-05.gdc_hg38.txt,Bladder
8,jhu-usc.edu_BLCA.HumanMethylation450.21.lvl-3.TCGA-ZF-A9R0-01A-11D-A38H-05.gdc_hg38.txt,Bladder
9,jhu-usc.edu_BLCA.HumanMethylation450.2.lvl-3.TCGA-DK-A1A3-01A-11D-A13Z-05.gdc_hg38.txt,Bladder
10,jhu-usc.edu_BLCA.HumanMethylation450.1.lvl-3.TCGA-CU-A0YN-01A-21D-A10W-05.gdc_hg38.txt,Bladder
11,jhu-usc.edu_BLCA.HumanMethylation450.4.lvl-3.TCGA-CF-A27C-01A-11D-A16P-05.gdc_hg38.txt,Bladder
12,jhu-usc.edu_BLCA.HumanMethylation450.21.lvl-3.TCGA-ZF-A9R3-01A-11D-A38H-05.gdc_hg38.txt,Bladder
13,jhu-usc.edu_BLCA.HumanMethylation450.20.lvl-3.TCGA-FJ-A871-01A-11D-A34V-05.gdc_hg38.txt,Bladder
14,jhu-usc.edu_BLCA.HumanMethylation450.24.lvl-3.TCGA-XF-AAMT-01A-11D-A42F-05.gdc_hg38.txt,Bladder
15,jhu-usc.edu_BLCA.HumanMethylation450.5.lvl-3.TCGA-H4-A2HO-01A-11D-A17Y-05.gdc_hg38.txt,Bladder
16,jhu-usc.edu_BLCA.HumanMethylation450.14.lvl-3.TCGA-E7-A4IJ-01A-31D-A26N-05.gdc_hg38.txt,Bladder
17,jhu-usc.edu_BLCA.HumanMethylation450.17.lvl-3.TCGA-GD-A6C6-01A-21D-A31M-05.gdc_hg38.txt,Bladder
18,jhu-usc.edu_BLCA.HumanMethylation450.19.lvl-3.TCGA-KQ-A41Q-01A-11D-A33I-05.gdc_hg38.txt,Bladder
19,jhu-usc.edu_BLCA.HumanMethylation450.10.lvl-3.TCGA-DK-A3IV-01A-22D-A21B-05.gdc_hg38.txt,Bladder
20,jhu-usc.edu_BLCA.HumanMethylation450.21.lvl-3.TCGA-UY-A9PE-01A-11D-A38H-05.gdc_hg38.txt,Bladder
21,jhu-usc.edu_BLCA.HumanMethylation450.22.lvl-3.TCGA-DK-AA74-01A-11D-A392-05.gdc_hg38.txt,Bladder
22,jhu-usc.edu_BLCA.HumanMethylation450.22.lvl-3.TCGA-ZF-AA52-01A-12D-A392-05.gdc_hg38.txt,Bladder
23,jhu-usc.edu_BLCA.HumanMethylation450.22.lvl-3.TCGA-XF-A9SI-01A-11D-A392-05.gdc_hg38.txt,Bladder
24,jhu-usc.edu_BLCA.HumanMethylation450.23.lvl-3.TCGA-XF-A8HG-01A-11D-A365-05.gdc_hg38.txt,Bladder
25,jhu-usc.edu_BLCA.HumanMethylation450.13.lvl-3.TCGA-BT-A42E-01A-11D-A23V-05.gdc_hg38.txt,Bladder
26,jhu-usc.edu_BLCA.HumanMethylation450.12.lvl-3.TCGA-BT-A42C-01A-11D-A23O-05.gdc_hg38.txt,Bladder
27,jhu-usc.edu_BLCA.HumanMethylation450.14.lvl-3.TCGA-FJ-A3Z9-01A-11D-A26N-05.gdc_hg38.txt,Bladder
28,jhu-usc.edu_BLCA.HumanMethylation450.2.lvl-3.TCGA-DK-A1AG-01A-11D-A13Z-05.gdc_hg38.txt,Bladder
29,jhu-usc.edu_BLCA.HumanMethylation450.7.lvl-3.TCGA-HQ-A2OE-01A-11D-A203-05.gdc_hg38.txt,Bladder
30,jhu-usc.edu_BLCA.HumanMethylation450.18.lvl-3.TCGA-E7-A6MF-01A-12D-A32C-05.gdc_hg38.txt,Bladder
31,jhu-usc.edu_BLCA.HumanMethylation450.2.lvl-3.TCGA-DK-A1AA-01A-11D-A13Z-05.gdc_hg38.txt,Bladder
32,jhu-usc.edu_BLCA.HumanMethylation450.20.lvl-3.TCGA-E7-A7PW-01A-11D-A34V-05.gdc_hg38.txt,Bladder
33,jhu-usc.edu_BLCA.HumanMethylation450.24.lvl-3.TCGA-ZF-A9RG-01A-21D-A42F-05.gdc_hg38.txt,Bladder
34,jhu-usc.edu_BLCA.HumanMethylation450.1.lvl-3.TCGA-BL-A13J-01B-04D-A276-05.gdc_hg38.txt,Bladder
35,jhu-usc.edu_BLCA.HumanMethylation450.14.lvl-3.TCGA-E7-A4XJ-01A-11D-A26N-05.gdc_hg38.txt,Bladder
36,jhu-usc.edu_BLCA.HumanMethylation450.5.lvl-3.TCGA-DK-A2I2-01A-11D-A17Y-05.gdc_hg38.txt,Bladder
37,jhu-usc.edu_BLCA.HumanMethylation450.24.lvl-3.TCGA-XF-AAMW-01A-11D-A42F-05.gdc_hg38.txt,Bladder
38,jhu-usc.edu_BLCA.HumanMethylation450.19.lvl-3.TCGA-KQ-A41N-01A-11D-A33I-05.gdc_hg38.txt,Bladder
39,jhu-usc.edu_BLCA.HumanMethylation450.22.lvl-3.TCGA-4Z-AA89-01A-11D-A392-05.gdc_hg38.txt,Bladder
40,jhu-usc.edu_BLCA.HumanMethylation450.22.lvl-3.TCGA-DK-AA6W-01A-12D-A392-05.gdc_hg38.txt,Bladder
41,jhu-usc.edu_BLCA.HumanMethylation450.21.lvl-3.TCGA-ZF-AA4X-01A-11D-A38H-05.gdc_hg38.txt,Bladder
42,jhu-usc.edu_BLCA.HumanMethylation450.22.lvl-3.TCGA-DK-AA6L-01A-11D-A392-05.gdc_hg38.txt,Bladder
43,jhu-usc.edu_BLCA.HumanMethylation450.21.lvl-3.TCGA-ZF-AA4T-01A-11D-A38H-05.gdc_hg38.txt,Bladder
44,jhu-usc.edu_BLCA.HumanMethylation450.21.lvl-3.TCGA-UY-A9PD-01A-11D-A38H-05.gdc_hg38.txt,Bladder
45,jhu-usc.edu_BLCA.HumanMethylation450.14.lvl-3.TCGA-FD-A5BR-01A-11D-A26N-05.gdc_hg38.txt,Bladder
46,jhu-usc.edu_BLCA.HumanMethylation450.12.lvl-3.TCGA-K4-A3WU-01B-11D-A23O-05.gdc_hg38.txt,Bladder
47,jhu-usc.edu_BLCA.HumanMethylation450.21.lvl-3.TCGA-2F-A9KP-01A-11D-A38H-05.gdc_hg38.txt,Bladder
48,jhu-usc.edu_BLCA.HumanMethylation450.22.lvl-3.TCGA-XF-A9SZ-01A-11D-A392-05.gdc_hg38.txt,Bladder
49,jhu-usc.edu_BLCA.HumanMethylation450.16.lvl-3.TCGA-DK-A6AW-01A-11D-A30F-05.gdc_hg38.txt,Bladder
50,jhu-usc.edu_BLCA.HumanMethylation450.13.lvl-3.TCGA-CF-A47V-01A-11D-A23V-05.gdc_hg38.txt,Bladder
51,jhu-usc.edu_BLCA.HumanMethylation450.13.lvl-3.TCGA-CF-A47S-01A-11D-A23V-05.gdc_hg38.txt,Bladder
52,jhu-usc.edu_BLCA.HumanMethylation450.22.lvl-3.TCGA-ZF-AA5P-01A-11D-A392-05.gdc_hg38.txt,Bladder
53,jhu-usc.edu_BLCA.HumanMethylation450.16.lvl-3.TCGA-DK-A6AV-01A-12D-A30F-05.gdc_hg38.txt,Bladder
54,jhu-usc.edu_BLCA.HumanMethylation450.9.lvl-3.TCGA-GC-A3WC-01A-31D-A231-05.gdc_hg38.txt,Bladder
55,jhu-usc.edu_BLCA.HumanMethylation450.8.lvl-3.TCGA-CF-A3MI-01A-11D-A211-05.gdc_hg38.txt,Bladder
56,jhu-usc.edu_BLCA.HumanMethylation450.11.lvl-3.TCGA-GV-A3QH-01A-11D-A223-05.gdc_hg38.txt,Bladder
57,jhu-usc.edu_BLCA.HumanMethylation450.24.lvl-3.TCGA-XF-AAME-01A-12D-A42F-05.gdc_hg38.txt,Bladder
58,jhu-usc.edu_BLCA.HumanMethylation450.17.lvl-3.TCGA-GC-A6I1-01A-12D-A31M-05.gdc_hg38.txt,Bladder
59,jhu-usc.edu_BLCA.HumanMethylation450.12.lvl-3.TCGA-GC-A3YS-01A-11D-A23O-05.gdc_hg38.txt,Bladder
60,jhu-usc.edu_BLCA.HumanMethylation450.19.lvl-3.TCGA-CU-A72E-01A-12D-A33I-05.gdc_hg38.txt,Bladder
61,jhu-usc.edu_BLCA.HumanMethylation450.21.lvl-3.TCGA-YC-A8S6-01A-31D-A38H-05.gdc_hg38.txt,Bladder
62,jhu-usc.edu_BLCA.HumanMethylation450.24.lvl-3.TCGA-G2-AA3F-01A-12D-A42F-05.gdc_hg38.txt,Bladder
63,jhu-usc.edu_BLCA.HumanMethylation450.24.lvl-3.TCGA-XF-A9T6-01A-11D-A42F-05.gdc_hg38.txt,Bladder
64,jhu-usc.edu_BLCA.HumanMethylation450.19.lvl-3.TCGA-UY-A78L-01A-12D-A33I-05.gdc_hg38.txt,Bladder
65,jhu-usc.edu_BLCA.HumanMethylation450.22.lvl-3.TCGA-4Z-AA82-01A-11D-A392-05.gdc_hg38.txt,Bladder
66,jhu-usc.edu_BLCA.HumanMethylation450.23.lvl-3.TCGA-LT-A8JT-01A-11D-A365-05.gdc_hg38.txt,Bladder
67,jhu-usc.edu_BLCA.HumanMethylation450.17.lvl-3.TCGA-K4-A6FZ-01A-11D-A31M-05.gdc_hg38.txt,Bladder
68,jhu-usc.edu_BLCA.HumanMethylation450.24.lvl-3.TCGA-ZF-A9R5-01A-12D-A42F-05.gdc_hg38.txt,Bladder
69,jhu-usc.edu_BLCA.HumanMethylation450.1.lvl-3.TCGA-BL-A0C8-01A-11D-A10W-05.gdc_hg38.txt,Bladder
70,jhu-usc.edu_BLCA.HumanMethylation450.1.lvl-3.TCGA-BL-A0C8-01A-11D-A276-05.gdc_hg38.txt,Bladder
71,jhu-usc.edu_BLCA.HumanMethylation450.21.lvl-3.TCGA-UY-A9PA-01A-11D-A38H-05.gdc_hg38.txt,Bladder
72,jhu-usc.edu_BLCA.HumanMethylation450.22.lvl-3.TCGA-XF-A9SJ-01A-11D-A392-05.gdc_hg38.txt,Bladder
73,jhu-usc.edu_BLCA.HumanMethylation450.9.lvl-3.TCGA-G2-A3VY-01A-11D-A231-05.gdc_hg38.txt,Bladder
74,jhu-usc.edu_BLCA.HumanMethylation450.3.lvl-3.TCGA-BT-A20N-01A-11D-A14Z-05.gdc_hg38.txt,Bladder
75,jhu-usc.edu_BLCA.HumanMethylation450.19.lvl-3.TCGA-KQ-A41P-01A-12D-A33I-05.gdc_hg38.txt,Bladder
76,jhu-usc.edu_BLCA.HumanMethylation450.24.lvl-3.TCGA-XF-AAN4-01A-11D-A42F-05.gdc_hg38.txt,Bladder
77,jhu-usc.edu_BLCA.HumanMethylation450.24.lvl-3.TCGA-XF-AAMJ-01A-11D-A42F-05.gdc_hg38.txt,Bladder
78,jhu-usc.edu_BLCA.HumanMethylation450.13.lvl-3.TCGA-CF-A47Y-01A-11D-A23V-05.gdc_hg38.txt,Bladder
79,jhu-usc.edu_BLCA.HumanMethylation450.19.lvl-3.TCGA-FD-A6TC-01A-21D-A33I-05.gdc_hg38.txt,Bladder
80,jhu-usc.edu_BLCA.HumanMethylation450.15.lvl-3.TCGA-K4-A4AB-01B-12D-A28N-05.gdc_hg38.txt,Bladder
81,jhu-usc.edu_BLCA.HumanMethylation450.15.lvl-3.TCGA-FD-A5BZ-01A-11D-A28N-05.gdc_hg38.txt,Bladder
82,jhu-usc.edu_BLCA.HumanMethylation450.15.lvl-3.TCGA-HQ-A5NE-01A-12D-A28N-05.gdc_hg38.txt,Bladder
