,File Name,File ID,Sample ID,Sample Type,Primary Site,Site Code
0,jhu-usc.edu_BLCA.HumanMethylation450.24.lvl-3.TCGA-DK-AA6R-01A-11D-A42F-05.gdc_hg38.txt,f9642acf-2836-4d2b-8997-41d47a13e69b,TCGA-DK-AA6R-01A,Primary Tumor,bladder,2
1,jhu-usc.edu_BLCA.HumanMethylation450.15.lvl-3.TCGA-CU-A5W6-01A-11D-A28N-05.gdc_hg38.txt,c395be32-781e-4ab0-9ae9-1a43226ed378,TCGA-CU-A5W6-01A,Primary Tumor,bladder,2
2,jhu-usc.edu_BLCA.HumanMethylation450.21.lvl-3.TCGA-YF-AA3L-01A-11D-A38H-05.gdc_hg38.txt,f10e68f8-ec9d-49b9-b24a-c5d24deb4113,TCGA-YF-AA3L-01A,Primary Tumor,bladder,2
3,jhu-usc.edu_BLCA.HumanMethylation450.7.lvl-3.TCGA-FD-A3B3-01A-12D-A203-05.gdc_hg38.txt,cd614ce6-dd7f-4c9c-a7c2-56e994dfe601,TCGA-FD-A3B3-01A,Primary Tumor,bladder,2
4,jhu-usc.edu_BLCA.HumanMethylation450.10.lvl-3.TCGA-FD-A3N6-01A-11D-A21B-05.gdc_hg38.txt,f2a9b008-a125-4c53-a207-8e087d4240a7,TCGA-FD-A3N6-01A,Primary Tumor,bladder,2
5,jhu-usc.edu_BLCA.HumanMethylation450.12.lvl-3.TCGA-FJ-A3ZE-01A-11D-A23O-05.gdc_hg38.txt,aa05d6e1-9a75-4c93-bb37-52786b753051,TCGA-FJ-A3ZE-01A,Primary Tumor,bladder,2
6,jhu-usc.edu_BLCA.HumanMethylation450.13.lvl-3.TCGA-CF-A47W-01A-11D-A23V-05.gdc_hg38.txt,0af593ed-009a-4c83-9205-279f599c99f2,TCGA-CF-A47W-01A,Primary Tumor,bladder,2
7,jhu-usc.edu_BLCA.HumanMethylation450.11.lvl-3.TCGA-BT-A3PK-01A-21D-A223-05.gdc_hg38.txt,23292e17-cb2e-42e8-9adf-88806cc948d7,TCGA-BT-A3PK-01A,Primary Tumor,bladder,2
8,jhu-usc.edu_BLCA.HumanMethylation450.21.lvl-3.TCGA-ZF-A9R0-01A-11D-A38H-05.gdc_hg38.txt,8e4ab01b-28f3-4c78-b4a3-79efd0c33855,TCGA-ZF-A9R0-01A,Primary Tumor,bladder,2
9,jhu-usc.edu_BLCA.HumanMethylation450.2.lvl-3.TCGA-DK-A1A3-01A-11D-A13Z-05.gdc_hg38.txt,f389000c-8751-4156-91b9-bebb4f6e894f,TCGA-DK-A1A3-01A,Primary Tumor,bladder,2
10,jhu-usc.edu_BLCA.HumanMethylation450.1.lvl-3.TCGA-CU-A0YN-01A-21D-A10W-05.gdc_hg38.txt,d13be9ea-39dd-46a8-a497-d372b669e03c,TCGA-CU-A0YN-01A,Primary Tumor,bladder,2
11,jhu-usc.edu_BLCA.HumanMethylation450.4.lvl-3.TCGA-CF-A27C-01A-11D-A16P-05.gdc_hg38.txt,ade40ff0-c687-410e-9955-027a7826e780,TCGA-CF-A27C-01A,Primary Tumor,bladder,2
12,jhu-usc.edu_BLCA.HumanMethylation450.21.lvl-3.TCGA-ZF-A9R3-01A-11D-A38H-05.gdc_hg38.txt,aa13fc1c-6a20-4ea5-8877-6e8031272fc0,TCGA-ZF-A9R3-01A,Primary Tumor,bladder,2
13,jhu-usc.edu_BLCA.HumanMethylation450.20.lvl-3.TCGA-FJ-A871-01A-11D-A34V-05.gdc_hg38.txt,c0f12eff-6587-4fa4-9f13-9a58f2b89333,TCGA-FJ-A871-01A,Primary Tumor,bladder,2
14,jhu-usc.edu_BLCA.HumanMethylation450.24.lvl-3.TCGA-XF-AAMT-01A-11D-A42F-05.gdc_hg38.txt,608c079b-1ac5-4c90-be95-a779db6caa7a,TCGA-XF-AAMT-01A,Primary Tumor,bladder,2
15,jhu-usc.edu_BLCA.HumanMethylation450.5.lvl-3.TCGA-H4-A2HO-01A-11D-A17Y-05.gdc_hg38.txt,41781ef2-4b3d-4c1e-8150-ab79933cfe63,TCGA-H4-A2HO-01A,Primary Tumor,bladder,2
16,jhu-usc.edu_BLCA.HumanMethylation450.14.lvl-3.TCGA-E7-A4IJ-01A-31D-A26N-05.gdc_hg38.txt,02d68b0f-c6f0-44f0-a957-af2f07b4feb7,TCGA-E7-A4IJ-01A,Primary Tumor,bladder,2
17,jhu-usc.edu_BLCA.HumanMethylation450.17.lvl-3.TCGA-GD-A6C6-01A-21D-A31M-05.gdc_hg38.txt,db49e060-0c52-499c-baa5-1c9d45c003c2,TCGA-GD-A6C6-01A,Primary Tumor,bladder,2
